12.5,16.8835,1.69935,15.3627,0.810056
12.6,15.3341,1.55172,14.3532,0.767462
12.7,13.9394,1.42869,13.3662,0.725611
12.8,12.5719,1.3038,12.3603,0.683446
12.9,11.3056,1.19005,11.3543,0.636525
13,10.2545,1.09044,10.4542,0.599172
13.1,9.19382,0.996774,9.62426,0.567498
13.2,8.30916,0.90938,8.84542,0.533378
13.3,7.41617,0.817999,8.15101,0.501774
13.4,6.65279,0.741554,7.4566,0.466195
13.5,5.98454,0.670031,6.8585,0.433505
13.6,5.33532,0.604462,6.23662,0.401812
13.7,4.74911,0.543178,5.68252,0.375148
13.8,4.17241,0.48291,5.10702,0.347126
13.9,3.64685,0.427161,4.59572,0.318245
14,3.20452,0.384034,4.12128,0.293229
14.1,2.77527,0.338803,3.68371,0.26881
14.2,2.42925,0.299417,3.30083,0.248074
14.3,2.12128,0.27016,2.97027,0.228605
14.4,1.78835,0.233222,2.62307,0.20961
14.5,1.51011,0.201334,2.30797,0.1942
14.6,1.29608,0.175459,2.0321,0.177873
14.7,1.11891,0.156642,1.79786,0.166332
14.8,0.931034,0.13245,1.57907,0.154138
14.9,0.801427,0.116733,1.39952,0.142263
15,0.661118,0.100853,1.20571,0.130493
15.1,0.535077,0.0843125,1.03805,0.119926
15.2,0.451843,0.0737536,0.91082,0.111746
15.3,0.386445,0.0674011,0.785969,0.105002
15.4,0.325803,0.0590277,0.682521,0.0957017
15.5,0.247325,0.0487235,0.580262,0.0887621
15.6,0.205707,0.0444548,0.505351,0.0833071
15.7,0.161712,0.037019,0.429251,0.0754931
15.8,0.134364,0.031096,0.375743,0.0710101
15.9,0.10107,0.0262185,0.3044,0.0615242
16,0.0725327,0.0209324,0.242568,0.0560888
16.1,0.0618312,0.0193404,0.216409,0.0504808
16.2,0.0475624,0.0161726,0.181926,0.0444396
16.3,0.0297265,0.0114851,0.142687,0.03838
16.4,0.0249703,0.0105521,0.122473,0.0349314
16.5,0.0178359,0.00895068,0.103448,0.0312863
16.6,0.0154578,0.00834271,0.0891795,0.0283992
16.7,0.0130797,0.00768344,0.078478,0.0268752
16.8,0.00713436,0.00569166,0.0630202,0.0223259
16.9,0.0059453,0.00519887,0.0499405,0.0192159
17,0.00356718,0.00403184,0.0380499,0.0172599
17.1,0.00356718,0.00403184,0.0285375,0.0134598
17.2,0.00237812,0.00329395,0.019025,0.0113515
17.3,0.00118906,0.00233056,0.0142687,0.00984644
17.4,0,0,0.0130797,0.00957409
17.5,0,0,0.0107015,0.00900254
17.6,0,0,0.0107015,0.00900254
17.7,0,0,0.00832342,0.00838909
17.8,0,0,0.0059453,0.00615663
17.9,0,0,0.00475624,0.00570301
18,0,0,0.00356718,0.00403184
18.1,0,0,0.00356718,0.00403184
18.2,0,0,0.00356718,0.00403184
18.3,0,0,0.00237812,0.00329395
18.4,0,0,0.00237812,0.00329395
18.5,0,0,0.00118906,0.00233056
18.6,0,0,0.00118906,0.00233056
18.7,0,0,0.00118906,0.00233056
18.8,0,0,0,0
18.9,0,0,0,0
19,0,0,0,0
19.1,0,0,0,0
19.2,0,0,0,0
19.3,0,0,0,0
19.4,0,0,0,0
19.5,0,0,0,0
19.6,0,0,0,0
19.7,0,0,0,0
19.8,0,0,0,0
19.9,0,0,0,0
